ENTIDAD;DESCRIPCION_URL;ID;ID2;LINK;DESCRICION_1;DESCRIPCION_2;DIAS
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-poligota-beneficio;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/poligota-beneficio;Poliglota aprende inglés como si estuvieras en Nueva York;Hasta 75% dcto. en los planes de Poliglota.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-totto-bts;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/totto-bts;Totto;25% dcto.Todos los días de Febrero;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-20-sarak;;https://portales.bancochile.cl/personas/beneficios/beneficios-y-descuentos/detalles/20-sarak;Sara K Joyas;20% dcto.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-dolares-premio-en-majestic;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/dolares-premio-en-majestic;Majestic Dólares-Premio;Consumo por $50.000;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-greta-retobar;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/greta-retobar;Greta Restobar;30% dcto. Todos los jueves en terraza;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-mix-sushi;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/mix-sushi;Mix Sushi;30% dcto. Todos los jueves en terraza;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-24-7;;https://portales.bancochile.cl/personas/beneficios/restaurantes/detalles/24-7;24.7;30% dcto. Todos los jueves en terraza;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-rappi-descuento;;https://portales.bancochile.cl/personas/beneficios/delivery/detalles/rappi-descuento;Hasta 40% dcto. todos los días en restaurantes y comercios con Rappi;Pagando con tus Tarjetas de Débito y Crédito del Chile.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-pedidosya-2023;;https://portales.bancochile.cl/personas/beneficios/delivery/detalles/pedidosya-2023;30% dcto. o envío gratis en PedidosYa con tus Tarjetas del Chile;Pide algo rico cualquier día.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-travel-viajes;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/travel-viajes;Travel Viajes;N_A;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-iberia;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/iberia;Travel Iberia;N_A;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-british;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/british;Travel British Airways;N_A;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-delta;;https://portales.bancochile.cl/personas/beneficios/viajes/detalles/delta;Travel Delta;N_A;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-jackson-wang-22-mayo-en-el-movistar-arena;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/jackson-wang-22-mayo-en-el-movistar-arena;Jackson Wang – 22 mayo en el Movistar Arena;Compra tus entradas con los mejores beneficios.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-ludovico-einaudi-22-de-marzo-en-el-teatro-municipal;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/ludovico-einaudi-22-de-marzo-en-el-teatro-municipal;Ludovico Einaudi – 22 de marzo en el Teatro Municipal;Compra tus entradas con los mejores beneficios.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-piknic-6-25-de-febrero;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/piknic-6-25-de-febrero;Piknic #6 – 25 de febrero;Compra tus entradas con los mejores beneficios.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-ricky-martin-llega-a-chile-junto-a-banco-de-chile;;https://portales.bancochile.cl/personas/beneficios/panoramas/detalles/ricky-martin-llega-a-chile-junto-a-banco-de-chile;Ricky Martin llega a Chile con su show Sinfónico;7 de marzo - Movistar Arena.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-travel-duty;;https://portales.bancochile.cl/personas/beneficios/catalogo-productos/detalles/travel-duty;Travel Duty;Canjea tus Dólares-Premio por los mejores productos.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-travel-tienda;;https://portales.bancochile.cl/personas/beneficios/catalogo-productos/detalles/travel-tienda;Travel Tienda;Encuentra las mejores ofertas y productos y compra con hasta 24 cuotas sin interés.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-canjea-dp-giftcard;;https://portales.bancochile.cl/personas/beneficios/catalogo-productos/detalles/canjea-dp-giftcard;Canjea Giftcard;Canjea tus Dólares-Premio y disfruta las mejores Gift Cards para ocupar en distintos comercios.;
BANCO DE CHILE;BENEFICIOS DEL MES;ppp_beneficio-link-back-to-school;;https://portales.bancochile.cl/personas/campana-beneficios/detalles/back-to-school;Vuelve a clases con el Chile;Los mejores descuentos y beneficios son con tus Tarjetas del Chile.;
